accession	cluster	abundance	length_ave	score	read_count	total_bases	coverage	subsampled	coverage_final	notes	index
ERR3404627	S_aur_Pop11	0.881083	2758628.6923076925	1	104993.9713110643	20933698	7.588443511217236	0	7.588443511217236	Warning: low coverage (7.588443511217236) so distances may not be accurate	10.0
ERR3404628	S_aur_Pop11	0.985408	2758628.6923076925	1	199565.67358812317	39789404	14.423617107641524	0	14.423617107641524		8.0
ERR3404629	E_fcs_Pop5	0.984532	2949776.375	1	71237.25647720425	14187612	4.809724601581027	0	4.809724601581027	Warning: low coverage (4.809724601581027) so distances may not be accurate	4.0
ERR3404631	K_gri_Pop11	0.934648	6144512.666666667	1	523254.2940760924	103698536	16.876608711794773	0	16.876608711794773		54.0
ERR3404633	E_fcs_Pop28	0.909885	2923489.8125	1	12375023.654618474	2465104712	843.2061919490612	1	100	Warning: high coverage (843.2061919490612) so 1467615 reads were subsampled to reduce the coverage to 100	2.0
ERR3404633	E_fcs_Pop8	0.067002	2831956.075	1	3191327.3960216995	635329458	224.34297749480453	1	100	Warning: high coverage (224.34297749480453) so 1422521 reads were subsampled to reduce the coverage to 100	0.0
ERR3404634	E_fcs_Pop28	0.882523	2923489.8125	1	1304788.2417913445	259887722	88.89640076349676	0	88.89640076349676		6.0
ERR3404635	E_fcs_Pop28	0.858596	2923489.8125	1	1472445.7119903595	293252288	100.30898234915604	1	100	Warning: high coverage (100.30898234915604) so 1467910 reads were subsampled to reduce the coverage to 100	9.0
ERR3404636	E_fcs_Pop28	0.878583	2923489.8125	1	393972.5675268601	78471456	26.84170667004847	0	26.84170667004847		27.0
ERR3404638	E_fcs_Pop17	0.528701	2959104.066666667	1	671495.6818638281	133735080	45.194449734459035	0	45.194449734459035		8.0
ERR3404638	E_fcs_Pop8	0.405062	2831956.075	1	543814.9040875767	108295300	38.240458937909196	0	38.240458937909196		6.0
ERR3404639	E_fcs_Pop17	0.932772	2959104.066666667	1	634089.4044390881	126272564	42.67256614000801	0	42.67256614000801		13.0
ERR3404640	E_fcs_Pop17	0.999979	2959104.066666667	1	2472125.3891734458	492299050	166.36760279761253	1	100	Warning: high coverage (166.36760279761253) so 1485941 reads were subsampled to reduce the coverage to 100	0.0
ERR3404641	E_fcs_Pop17	0.99997	2959104.066666667	1	1566565.6256276362	311997210	105.43637633922573	1	100	Warning: high coverage (105.43637633922573) so 1485792 reads were subsampled to reduce the coverage to 100	0.0
ERR3404642	K_gri_Pop11	0.654966	6144512.666666667	1	166811.74334140436	33068760	5.381836085942916	0	5.381836085942916	Warning: low coverage (5.381836085942916) so distances may not be accurate	54.0
ERR3404646	E_fcs_Pop21	0.999866	2979221.961538461	1	418261.1674871898	83259068	27.946581045275753	0	27.946581045275753		12.0
ERR3404649	E_fcs_Pop1	0.999784	3077103.0825688075	1	184270.68930868167	36677238	11.91940504293452	0	11.91940504293452		9.0
ERR3404650	E_fcs_Pop1	0.999842	3077103.0825688075	1	237186.49924660975	47223832	15.346847581257142	0	15.346847581257142		9.0
ERR3404656	E_fcs_Pop1	0.999992	3077103.0825688075	1	4047473.2067510546	805770966	261.86024464521074	1	100	Warning: high coverage (261.86024464521074) so 1545661 reads were subsampled to reduce the coverage to 100	0.0
ERR3404657	E_fcs_Pop1	0.999975	3077103.0825688075	1	1502440.088415553	299075724	97.19392427709231	0	97.19392427709231		0.0
ERR3404658	E_fcs_Pop1	0.839504	3077103.0825688075	1	104140.05627575118	20725954	6.735541008492212	0	6.735541008492212	Warning: low coverage (6.735541008492212) so distances may not be accurate	9.0
ERR3404659	E_fcs_Pop1	0.925781	3077103.0825688075	1	304873.48538129206	60688116	19.722483898503892	0	19.722483898503892		9.0
ERR3404660	E_fcs_Pop17	0.639499	2959104.066666667	1	86881.65192926045	17292924	5.843972908827065	0	5.843972908827065	Warning: low coverage (5.843972908827065) so distances may not be accurate	21.0
ERR3404670	E_fcs_Pop4	0.743595	3097240.683333333	1	95642.53421186011	18870272	6.092607559219876	0	6.092607559219876	Warning: low coverage (6.092607559219876) so distances may not be accurate	0.0
ERR3404675	S_aur_Pop4	0.999973	2878243.6666666665	1	281736.4087000506	55699288	19.35183203738484	0	19.35183203738484		2.0
ERR3404676	E_fcs_Pop1	0.999903	3077103.0825688075	1	346420.5265822785	68418054	22.234566787045587	0	22.234566787045587		3.0
ERR3404680	E_fcs_Pop4	0.953804	3097240.683333333	1	977269.8512296326	193128068	62.354878986075576	0	62.354878986075576		0.0
ERR3404681	E_fcs_Pop4	0.970709	3097240.683333333	1	2959875.2227622517	584634554	188.75980712315862	1	100	Warning: high coverage (188.75980712315862) so 1568064 reads were subsampled to reduce the coverage to 100	0.0
ERR3404682	E_fcs_Pop4	0.941338	3097240.683333333	1	781209.9240506329	154288960	49.814972672369166	0	49.814972672369166		0.0
ERR3404683	E_fcs_Pop4	0.87342	3097240.683333333	1	143681.4987341772	28377096	9.1620571022139	0	9.1620571022139	Warning: low coverage (9.1620571022139) so distances may not be accurate	0.0
ERR3404687	K_gri_Pop8	0.879833	6269477.714285715	1	6460426.938692652	1272962524	203.04123916086516	1	100	Warning: high coverage (203.04123916086516) so 3181829 reads were subsampled to reduce the coverage to 100	2.0
ERR3404687	K_mic_Pop7	0.31955	6168273.857142857	1	732692.0401541269	144516178	23.428949710566165	0	23.428949710566165		0.0
ERR3404688	E_fcs_Pop21	0.999772	2979221.961538461	1	331937.69470404985	66062240	22.174326335150155	0	22.174326335150155		26.0
ERR3404690	E_fcs_Pop3	0.999946	2911870.6842105263	1	686570.4794451704	136613794	46.91616105783182	0	46.91616105783182		0.0
ERR3404691	K_oxy_Pop5	0.999977	6145864.583333333	1	1703718.5857766056	335871082	54.64993207153184	0	54.64993207153184		0.0
ERR3404692	E_fcs_Pop1	0.657679	3077103.0825688075	1	379789.0285599356	75532442	24.54660762841409	0	24.54660762841409		7.0
ERR3404692	E_fcs_Pop4	0.342183	3097240.683333333	1	225662.03219315893	44861612	14.484380320007528	0	14.484380320007528		0.0
ERR3404693	E_fcs_Pop10	0.781419	2982778.1142857145	1	818575.3543069656	162880124	54.60685232330964	0	54.60685232330964		4.0
ERR3404693	K_pne_Pop42	0.753951	5441791.6	1	572819.572051516	112971476	20.75997838652991	0	20.75997838652991		52.0
ERR3404694	K_pne_Pop48	0.995195	5403121.25	1	8744563.450797196	1722154326	318.7332370155491	1	100	Warning: high coverage (318.7332370155491) so 2743536 reads were subsampled to reduce the coverage to 100	0.0
